profile_pic,username_num_length,fullname_words,fullname_num_length,name_eq_username,description_length,external_url,private,num_posts,num_followers,num_follows,fake,followers_following_ratio,profile_pic_outlier_iqr,profile_pic_outlier_p,profile_pic_orig,profile_pic_capped,username_num_length_outlier_iqr,username_num_length_outlier_p,username_num_length_orig,username_num_length_capped,fullname_words_outlier_iqr,fullname_words_outlier_p,fullname_words_orig,fullname_words_capped,fullname_num_length_outlier_iqr,fullname_num_length_outlier_p,fullname_num_length_orig,fullname_num_length_capped,name_eq_username_outlier_iqr,name_eq_username_outlier_p,name_eq_username_orig,name_eq_username_capped,description_length_outlier_iqr,description_length_outlier_p,description_length_orig,description_length_capped,external_url_outlier_iqr,external_url_outlier_p,external_url_orig,external_url_capped,private_outlier_iqr,private_outlier_p,private_orig,private_capped,num_posts_outlier_iqr,num_posts_outlier_p,num_posts_orig,num_posts_capped,num_followers_outlier_iqr,num_followers_outlier_p,num_followers_orig,num_followers_capped,num_follows_outlier_iqr,num_follows_outlier_p,num_follows_orig,num_follows_capped,fake_outlier_iqr,fake_outlier_p,fake_orig,fake_capped,followers_following_ratio_outlier_iqr,followers_following_ratio_outlier_p,followers_following_ratio_orig,followers_following_ratio_capped,log_num_followers,log_num_posts,followers_following_ratio_clipped,profile_pic_capped_rob,username_num_length_capped_rob,fullname_words_capped_rob,fullname_num_length_capped_rob,name_eq_username_capped_rob,description_length_capped_rob,external_url_capped_rob,private_capped_rob,num_posts_capped_rob,num_followers_capped_rob,num_follows_capped_rob,fake_capped_rob,followers_following_ratio_capped_rob,log_num_followers_rob,log_num_posts_rob,followers_following_ratio_clipped_rob
1,0.27,0,0.0,0,53,0,0,32,1000,955,0,1.0460251046025104,0,0,1,1,0,0,0.27,0.27,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,32,32.0,0,0,1000,1000.0,0,0,955,955.0,0,0,0,0,0,0,1.0460251046025104,1.0460251046025104,6.90875477931522,3.4965075614664802,1.0460251046025104,0.0,0.6018669210013009,-1.0,0.0,0.0,1.664,0.0,0.0,0.2716049382716049,1.3033536585365855,1.3377110694183865,-0.5,0.18748472821407466,0.6794928315743121,0.2493038986656892,0.18748472821407466
1,0.0,2,0.0,0,44,0,0,286,2740,533,0,5.131086142322097,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,1,0,286,286.0,1,0,2740,2740.0,0,0,533,533.0,0,0,0,0,1,0,5.131086142322097,5.131086142322097,7.916078096302786,5.659482215759621,5.131086142322097,0.0,-0.29690342244168033,1.0,0.0,0.0,1.376,0.0,0.0,3.4074074074074074,3.955792682926829,0.5459662288930581,-0.5,3.249816089906262,1.0350337650168373,0.740139491524468,3.249816089906262
1,0.1,2,0.0,0,0,0,1,13,159,98,0,1.606060606060606,0,0,1,1,0,0,0.1,0.1,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,13,13.0,0,0,159,159.0,0,0,98,98.0,0,0,0,0,0,0,1.606060606060606,1.606060606060606,5.075173815233827,2.6390573296152584,1.606060606060606,0.0,0.0359744825372016,1.0,0.0,0.0,-0.032,0.0,1.0,0.037037037037037035,0.021341463414634148,-0.2701688555347092,-0.5,0.6073105922441292,0.032319201699931493,0.05472598622356171,0.6073105922441292
1,0.0,1,0.0,0,82,0,0,679,414,651,0,0.6349693251533742,0,0,1,1,0,0,0.0,0.0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,1,0,82,82,0,0,0,0,0,0,0,0,1,0,679,679.0,0,0,414,414.0,0,0,651,651.0,0,0,0,0,0,0,0.6349693251533742,0.6349693251533742,6.028278520230698,6.522092798170152,0.6349693251533742,0.0,-0.29690342244168033,0.0,0.0,0.0,2.592,0.0,0.0,8.25925925925926,0.4100609756097561,0.7673545966228893,-0.5,-0.12065975070284582,0.36872334401289386,0.9358884226473322,-0.12065975070284582
1,0.0,2,0.0,0,0,0,1,6,151,126,0,1.188976377952756,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,6,6.0,0,0,151,151.0,0,0,126,126.0,0,0,0,0,0,0,1.188976377952756,1.188976377952756,5.0238805208462765,1.9459101490553132,1.188976377952756,0.0,-0.29690342244168033,1.0,0.0,0.0,-0.032,0.0,1.0,-0.04938271604938271,0.009146341463414634,-0.2176360225140713,-0.5,0.2946469379172285,0.014214919332647685,-0.10256726112598516,0.2946469379172285
1,0.0,4,0.0,0,81,1,0,344,669987,150,0,4437.0,0,0,1,1,0,0,0.0,0.0,1,0,4,4,0,0,0.0,0.0,0,0,0,0,1,0,81,81,1,0,1,1,0,0,0,0,1,0,344,344.0,1,0,669987,669987.0,0,0,150,150.0,0,0,0,0,1,0,4437.0,4437.0,13.415015080758993,5.84354441703136,4437.0,0.0,-0.29690342244168033,3.0,0.0,0.0,2.56,1.0,0.0,4.1234567901234565,1021.1006097560976,-0.1726078799249531,-0.5,3325.562760865709,2.9759172484270784,0.7819080251985855,3325.562760865709
1,0.0,2,0.0,0,50,0,0,16,122,177,0,0.6853932584269663,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,16,16.0,0,0,122,122.0,0,0,177,177.0,0,0,0,0,0,0,0.6853932584269663,0.6853932584269663,4.812184355372417,2.833213344056216,0.6853932584269663,0.0,-0.29690342244168033,1.0,0.0,0.0,1.568,0.0,0.0,0.07407407407407407,-0.0350609756097561,-0.12195121951219512,-0.5,-0.08285987676759747,-0.060504538670038806,0.09878507044171159,-0.08285987676759747
1,0.0,2,0.0,0,0,0,0,33,1078,76,0,14.0,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33.0,0,0,1078,1078.0,0,0,76,76.0,0,0,0,0,1,0,14.0,14.0,6.983789965258135,3.5263605246161616,14.0,0.0,-0.29690342244168033,1.0,0.0,0.0,-0.032,0.0,0.0,0.2839506172839506,1.4222560975609757,-0.31144465290806755,-0.5,9.898322146421593,0.7059769599581946,0.2560783177912585,9.898322146421593
1,0.0,0,0.0,0,71,0,0,72,1824,2713,0,0.6720707442888725,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,72,72.0,1,0,1824,1824.0,1,0,2713,2713.0,0,0,0,0,0,0,0.6720707442888725,0.6720707442888725,7.509335266016592,4.290459441148391,0.6720707442888725,0.0,-0.29690342244168033,-1.0,0.0,0.0,2.24,0.0,0.0,0.7654320987654321,2.5594512195121952,4.6360225140712945,-0.5,-0.09284698650352616,0.89147139222924,0.4294723721110547,-0.09284698650352616
1,0.0,2,0.0,0,40,1,0,213,12945,813,0,15.902948402948402,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,40,40,1,0,1,1,0,0,0,0,1,0,213,213.0,1,0,12945,12945.0,0,0,813,813.0,0,0,0,0,1,0,15.902948402948402,15.902948402948402,9.468542139105455,5.365976015021851,15.902948402948402,0.0,-0.29690342244168033,1.0,0.0,0.0,1.248,1.0,0.0,2.506172839506173,19.51219512195122,1.0712945590994372,-0.5,11.324851277864886,1.5829854560038843,0.6735352482611872,11.324851277864886
