profile_pic,username_num_length,fullname_words,fullname_num_length,name_eq_username,description_length,external_url,private,num_posts,num_followers,num_follows,fake,followers_following_ratio,profile_pic_outlier_iqr,profile_pic_outlier_p,profile_pic_orig,profile_pic_capped,username_num_length_outlier_iqr,username_num_length_outlier_p,username_num_length_orig,username_num_length_capped,fullname_words_outlier_iqr,fullname_words_outlier_p,fullname_words_orig,fullname_words_capped,fullname_num_length_outlier_iqr,fullname_num_length_outlier_p,fullname_num_length_orig,fullname_num_length_capped,name_eq_username_outlier_iqr,name_eq_username_outlier_p,name_eq_username_orig,name_eq_username_capped,description_length_outlier_iqr,description_length_outlier_p,description_length_orig,description_length_capped,external_url_outlier_iqr,external_url_outlier_p,external_url_orig,external_url_capped,private_outlier_iqr,private_outlier_p,private_orig,private_capped,num_posts_outlier_iqr,num_posts_outlier_p,num_posts_orig,num_posts_capped,num_followers_outlier_iqr,num_followers_outlier_p,num_followers_orig,num_followers_capped,num_follows_outlier_iqr,num_follows_outlier_p,num_follows_orig,num_follows_capped,fake_outlier_iqr,fake_outlier_p,fake_orig,fake_capped,followers_following_ratio_outlier_iqr,followers_following_ratio_outlier_p,followers_following_ratio_orig,followers_following_ratio_capped,log_num_followers,log_num_posts,followers_following_ratio_clipped
1,0.27,0,0.0,0,53,0,0,32,1000,955,0,1.0460251046025104,0,0,1,1,0,0,0.27,0.27,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,32,32.0,0,0,1000,1000.0,0,0,955,955.0,0,0,0,0,0,0,1.0460251046025104,1.0460251046025104,6.90875477931522,3.4965075614664802,1.0460251046025104
1,0.0,2,0.0,0,44,0,0,286,2740,533,0,5.131086142322097,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,1,0,286,286.0,1,0,2740,2740.0,0,0,533,533.0,0,0,0,0,1,0,5.131086142322097,5.131086142322097,7.916078096302786,5.659482215759621,5.131086142322097
1,0.1,2,0.0,0,0,0,1,13,159,98,0,1.606060606060606,0,0,1,1,0,0,0.1,0.1,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,13,13.0,0,0,159,159.0,0,0,98,98.0,0,0,0,0,0,0,1.606060606060606,1.606060606060606,5.075173815233827,2.6390573296152584,1.606060606060606
1,0.0,1,0.0,0,82,0,0,679,414,651,0,0.6349693251533742,0,0,1,1,0,0,0.0,0.0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,1,0,82,82,0,0,0,0,0,0,0,0,1,0,679,679.0,0,0,414,414.0,0,0,651,651.0,0,0,0,0,0,0,0.6349693251533742,0.6349693251533742,6.028278520230698,6.522092798170152,0.6349693251533742
1,0.0,2,0.0,0,0,0,1,6,151,126,0,1.188976377952756,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,6,6.0,0,0,151,151.0,0,0,126,126.0,0,0,0,0,0,0,1.188976377952756,1.188976377952756,5.0238805208462765,1.9459101490553132,1.188976377952756
1,0.0,4,0.0,0,81,1,0,344,669987,150,0,4437.0,0,0,1,1,0,0,0.0,0.0,1,0,4,4,0,0,0.0,0.0,0,0,0,0,1,0,81,81,1,0,1,1,0,0,0,0,1,0,344,344.0,1,0,669987,669987.0,0,0,150,150.0,0,0,0,0,1,0,4437.0,4437.0,13.415015080758993,5.84354441703136,4437.0
1,0.0,2,0.0,0,50,0,0,16,122,177,0,0.6853932584269663,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,16,16.0,0,0,122,122.0,0,0,177,177.0,0,0,0,0,0,0,0.6853932584269663,0.6853932584269663,4.812184355372417,2.833213344056216,0.6853932584269663
1,0.0,2,0.0,0,0,0,0,33,1078,76,0,14.0,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33.0,0,0,1078,1078.0,0,0,76,76.0,0,0,0,0,1,0,14.0,14.0,6.983789965258135,3.5263605246161616,14.0
1,0.0,0,0.0,0,71,0,0,72,1824,2713,0,0.6720707442888725,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,72,72.0,1,0,1824,1824.0,1,0,2713,2713.0,0,0,0,0,0,0,0.6720707442888725,0.6720707442888725,7.509335266016592,4.290459441148391,0.6720707442888725
1,0.0,2,0.0,0,40,1,0,213,12945,813,0,15.902948402948402,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,40,40,1,0,1,1,0,0,0,0,1,0,213,213.0,1,0,12945,12945.0,0,0,813,813.0,0,0,0,0,1,0,15.902948402948402,15.902948402948402,9.468542139105455,5.365976015021851,15.902948402948402
1,0.0,2,0.0,0,54,0,0,648,9884,1173,0,8.419080068143101,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,1,0,648,648.0,1,0,9884,9884.0,0,0,1173,1173.0,0,0,0,0,1,0,8.419080068143101,8.419080068143101,9.198773735604718,6.47543271670409,8.419080068143101
1,0.0,2,0.0,0,54,1,0,76,1188,365,0,3.2459016393442623,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,54,54,1,0,1,1,0,0,0,0,0,0,76,76.0,0,0,1188,1188.0,0,0,365,365.0,0,0,0,0,0,0,3.2459016393442623,3.2459016393442623,7.080867896690782,4.343805421853684,3.2459016393442623
1,0.0,2,0.0,0,0,1,0,298,945,583,0,1.6181506849315068,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,298,298.0,0,0,945,945.0,0,0,583,583.0,0,0,0,0,0,0,1.6181506849315068,1.6181506849315068,6.852242569051878,5.700443573390687,1.6181506849315068
1,0.0,2,0.0,0,103,1,0,117,12033,248,0,48.32530120481928,0,0,1,1,0,0,0.0,0.0,0,0,2,2,0,0,0.0,0.0,0,0,0,0,1,0,103,103,1,0,1,1,0,0,0,0,0,0,117,117.0,1,0,12033,12033.0,0,0,248,248.0,0,0,0,0,1,0,48.32530120481928,48.32530120481928,9.395491255780296,4.770684624465665,48.32530120481928
