default_profile_image,statuses_count,followers_count,friends_count,protected,name_length,follower_ratio,is_fake
0.0,2177,208,332,0.0,15,0.6246246246246246,0
0.0,2660,330,485,0.0,5,0.6790123456790124,0
0.0,1254,166,177,0.0,8,0.9325842696629213,0
0.0,202968,2248,981,0.0,17,2.2892057026476578,0
0.0,82,21,79,0.0,8,0.2625,0
0.0,12915,641,1066,0.0,2,0.6007497656982193,0
0.0,13676,1042,2000,0.0,13,0.5207396301849075,0
0.0,61294,561,118,0.0,7,4.714285714285714,0
0.0,4854,337,256,0.0,13,1.311284046692607,0
0.0,2408,421,338,0.0,12,1.2418879056047198,0
0.0,24581,335,276,0.0,13,1.2093862815884477,0
0.0,2132,232,225,0.0,20,1.0265486725663717,0
0.0,10354,1948,2096,0.0,13,0.9289461134954697,0
0.0,18484,271,216,0.0,12,1.2488479262672811,0
0.0,88,16,74,0.0,8,0.21333333333333335,0
0.0,2418,1190,355,0.0,6,3.342696629213483,0
0.0,10839,7842,7836,0.0,14,1.000637999234401,0
0.0,4774,552,787,0.0,20,0.700507614213198,0
0.0,36,223,166,0.0,15,1.3353293413173652,0
0.0,9412,303,325,0.0,14,0.9294478527607362,0
0.0,55052,1978,197,0.0,20,9.98989898989899,0
0.0,69809,1605,969,0.0,13,1.6546391752577319,0
0.0,7207,212,150,0.0,7,1.403973509933775,0
0.0,16677,1206,49,0.0,38,24.12,0
0.0,24163,435,320,0.0,3,1.355140186915888,0
0.0,45750,7644,359,0.0,4,21.233333333333334,0
0.0,1203,182,117,0.0,6,1.5423728813559323,0
0.0,274989,9815,2190,0.0,4,4.479689639434048,0
0.0,11334,349,348,0.0,5,1.0,0
0.0,72102,726,28,0.0,20,25.03448275862069,0
0.0,15525,879,667,0.0,13,1.3158682634730539,0
0.0,31248,3205,2377,0.0,12,1.347771236333053,0
0.0,105025,543,327,0.0,3,1.6554878048780488,0
0.0,54,10,91,0.0,12,0.10869565217391304,0
0.0,371,90,147,0.0,2,0.6081081081081081,0
0.0,2582,223,495,0.0,16,0.4495967741935484,0
0.0,427,75,77,0.0,7,0.9615384615384616,0
0.0,416,25,28,0.0,19,0.8620689655172413,0
0.0,34627,661,498,0.0,4,1.3246492985971945,0
0.0,25098,832,644,0.0,7,1.289922480620155,0
0.0,283536,7785,424,0.0,41,18.31764705882353,0
0.0,13634,697,103,0.0,12,6.701923076923077,0
0.0,10339,385,200,0.0,15,1.9154228855721394,0
0.0,19390,385,252,0.0,16,1.5217391304347827,0
0.0,1960,4910,1675,0.0,12,2.9295942720763724,0
0.0,2766,79,196,0.0,11,0.4010152284263959,0
0.0,3114,28,32,0.0,20,0.8484848484848485,0
0.0,4236,249,278,0.0,12,0.8924731182795699,0
0.0,33298,698,600,0.0,17,1.161397670549085,0
0.0,378,173,312,0.0,3,0.5527156549520766,0
0.0,46272,943,750,0.0,10,1.255659121171771,0
0.0,1043,81,77,0.0,12,1.0384615384615385,0
0.0,5194,247,177,1.0,1,1.3876404494382022,0
0.0,3547,1651,1754,0.0,13,0.9407407407407408,0
0.0,6127,1233,1166,0.0,13,1.056555269922879,0
0.0,3450,159,124,0.0,20,1.272,0
0.0,8102,241,273,0.0,26,0.8795620437956204,0
0.0,51961,1401,1335,0.0,16,1.0486526946107784,0
0.0,23261,589,396,0.0,34,1.4836272040302267,0
0.0,14187,358,967,0.0,10,0.36983471074380164,0
0.0,169053,1193,351,0.0,7,3.3892045454545454,0
0.0,3566,136,116,0.0,15,1.1623931623931625,0
0.0,2366,157,388,0.0,20,0.40359897172236503,0
0.0,639,120,64,0.0,19,1.8461538461538463,0
0.0,20291,1114,1292,0.0,14,0.8615622583139985,0
0.0,57768,348,389,0.0,6,0.8923076923076924,0
0.0,844,93,385,0.0,13,0.24093264248704663,0
0.0,7588,235,112,0.0,2,2.079646017699115,0
0.0,20388,399,402,0.0,11,0.9900744416873449,0
0.0,2287,71,56,0.0,13,1.2456140350877194,0
0.0,42077,763,97,0.0,19,7.785714285714286,0
0.0,16948,244,246,0.0,4,0.9878542510121457,0
0.0,4655,281,421,0.0,7,0.6658767772511849,0
0.0,23875,2134,654,0.0,22,3.2580152671755727,0
0.0,14537,865,250,0.0,31,3.446215139442231,0
0.0,8877,400,173,0.0,6,2.2988505747126435,0
0.0,5057,625,566,0.0,4,1.1022927689594357,0
0.0,7135,202,300,0.0,15,0.6710963455149501,0
0.0,346,451,403,0.0,15,1.1163366336633664,0
0.0,3629,269,187,0.0,3,1.4308510638297873,0
0.0,18745,553,1856,0.0,15,0.29779213785675823,0
0.0,9240,170,143,0.0,7,1.1805555555555556,0
0.0,8318,884,250,0.0,17,3.5219123505976095,0
0.0,1238,192,175,0.0,7,1.0909090909090908,0
0.0,2182,254,292,0.0,8,0.8668941979522184,0
0.0,9156,285,205,1.0,7,1.383495145631068,0
0.0,911,53,272,0.0,8,0.19413919413919414,0
0.0,38417,344,335,0.0,21,1.0238095238095237,0
0.0,13572,701,708,0.0,5,0.9887165021156559,0
0.0,1523,87,195,0.0,11,0.44387755102040816,0
0.0,2055,142,129,0.0,2,1.0923076923076922,0
0.0,24986,650,348,0.0,16,1.8624641833810889,0
0.0,21105,415,481,0.0,20,0.8609958506224067,0
0.0,19515,689,470,0.0,7,1.4628450106157111,0
0.0,1000,108,155,0.0,20,0.6923076923076923,0
0.0,2310,651,744,0.0,15,0.8738255033557047,0
0.0,1182,220,1040,0.0,14,0.21133525456292027,0
0.0,615,2544,262,0.0,22,9.673003802281368,0
0.0,21207,631,213,0.0,10,2.9485981308411215,0
0.0,37989,451,268,0.0,6,1.6765799256505576,0
0.0,11452,389,297,0.0,15,1.3053691275167785,0
0.0,43447,1068,822,0.0,6,1.2976913730255164,0
0.0,17447,1953,1199,0.0,4,1.6275,0
0.0,15809,385,353,0.0,3,1.0875706214689265,0
0.0,3559,99,105,0.0,12,0.9339622641509434,0
0.0,4059,599,585,0.0,8,1.022184300341297,0
0.0,87311,1878,1882,0.0,16,0.997344662772172,0
0.0,13635,665,1168,0.0,10,0.5688622754491018,0
0.0,23799,462,272,0.0,8,1.6923076923076923,0
0.0,4282,32,114,0.0,12,0.2782608695652174,0
0.0,36093,422,326,0.0,4,1.290519877675841,0
0.0,3028,1915,1804,0.0,13,1.0609418282548477,0
0.0,69,100,214,0.0,14,0.46511627906976744,0
0.0,157,23,102,0.0,13,0.22330097087378642,0
0.0,6747,592,254,0.0,23,2.3215686274509806,0
0.0,5414,486,305,0.0,12,1.588235294117647,0
0.0,5051,167,351,0.0,20,0.4744318181818182,0
0.0,29146,1347,736,0.0,11,1.8276797829036635,0
0.0,9550,500,416,0.0,11,1.1990407673860912,0
0.0,718,118,224,0.0,17,0.5244444444444445,0
0.0,5939,720,727,0.0,9,0.989010989010989,0
0.0,1271,14,38,0.0,4,0.358974358974359,0
0.0,28255,1439,755,0.0,5,1.9034391534391535,0
0.0,3259,175,116,0.0,8,1.4957264957264957,0
0.0,15595,1280,1985,0.0,4,0.6445115810674723,0
0.0,549,508,892,0.0,11,0.568868980963046,0
0.0,2583,280,337,0.0,9,0.8284023668639053,0
0.0,44376,790,159,0.0,17,4.9375,0
0.0,108575,15305,1543,0.0,38,9.912564766839377,0
0.0,1107,121,231,0.0,15,0.521551724137931,0
0.0,2713,61,52,0.0,3,1.150943396226415,0
0.0,811,34,351,0.0,17,0.09659090909090909,0
0.0,5290,298,243,0.0,18,1.221311475409836,0
0.0,82094,7689,207,0.0,5,36.96634615384615,0
0.0,133,72,460,0.0,13,0.1561822125813449,0
0.0,10221,458,395,0.0,10,1.1565656565656566,0
0.0,50540,3491,3296,0.0,15,1.0588413709432818,0
0.0,95069,1045,350,0.0,17,2.977207977207977,0
0.0,24117,788,405,0.0,12,1.9408866995073892,0
0.0,1303,147,138,0.0,14,1.0575539568345325,0
0.0,80,3,50,0.0,14,0.058823529411764705,0
0.0,8234,536,397,0.0,28,1.3467336683417086,0
0.0,28655,462,290,0.0,10,1.5876288659793814,0
0.0,9561,417,258,0.0,15,1.61003861003861,0
0.0,44535,314,290,0.0,15,1.0790378006872852,0
0.0,496,62,95,0.0,17,0.6458333333333334,0
0.0,325,101,230,0.0,16,0.43722943722943725,0
0.0,6877,247,838,0.0,15,0.2943980929678188,0
0.0,2647,604,296,0.0,8,2.0336700336700337,0
0.0,3719,220,198,0.0,8,1.1055276381909547,0
0.0,6629,286,127,0.0,4,2.234375,0
0.0,894,55,65,0.0,11,0.8333333333333334,0
0.0,31414,344,318,0.0,11,1.078369905956113,0
0.0,10171,369,259,0.0,2,1.4192307692307693,0
0.0,11133,6897,3735,0.0,6,1.8460920770877944,0
0.0,14376,363,306,0.0,13,1.1824104234527688,0
0.0,30812,252,234,0.0,4,1.0723404255319149,0
0.0,1311,169,342,0.0,6,0.49271137026239065,0
0.0,177,41,154,0.0,13,0.2645161290322581,0
0.0,17348,321,231,0.0,10,1.3836206896551724,0
0.0,176950,35379,587,0.0,6,60.16836734693877,0
0.0,265,26,107,0.0,3,0.24074074074074073,0
0.0,2127,229,262,0.0,14,0.870722433460076,0
0.0,41271,15171,210,0.0,5,71.9004739336493,0
0.0,1876,334,912,0.0,13,0.3658269441401972,0
0.0,1197,28,98,0.0,3,0.2828282828282828,0
0.0,1318,166,233,0.0,15,0.7094017094017094,0
0.0,13209,204,115,0.0,13,1.7586206896551724,0
0.0,84124,1575,1601,0.0,4,0.9831460674157303,0
0.0,1410,844,1416,0.0,20,0.5956245589273113,0
0.0,85,74,121,0.0,11,0.6065573770491803,0
0.0,25279,495,628,0.0,4,0.7869634340222575,0
0.0,462,370,548,0.0,5,0.6739526411657559,0
0.0,24063,662,208,0.0,14,3.1674641148325358,0
0.0,2449,148,134,0.0,15,1.0962962962962963,0
0.0,19678,423,261,0.0,48,1.6145038167938932,0
0.0,9510,1087,1096,0.0,22,0.9908842297174111,0
0.0,4353,157,168,0.0,8,0.9289940828402367,0
0.0,2630,76,158,0.0,4,0.4779874213836478,0
0.0,249449,5169,3418,0.0,18,1.5118455688797894,0
0.0,24457,841,482,0.0,5,1.74120082815735,0
0.0,32407,2418,2465,0.0,15,0.9805352798053528,0
0.0,79,8,24,0.0,8,0.32,0
0.0,1515,3656,238,0.0,19,15.297071129707113,0
0.0,361,60,223,1.0,10,0.26785714285714285,0
0.0,2689,380,155,0.0,6,2.4358974358974357,0
0.0,30259,1767,120,0.0,14,14.603305785123966,0
0.0,8058,672,717,0.0,18,0.935933147632312,0
0.0,1382,520,1302,0.0,16,0.3990790483499616,0
0.0,26478,552,427,0.0,4,1.2897196261682242,0
0.0,5352,384,187,0.0,14,2.0425531914893615,0
0.0,52423,1940,305,0.0,11,6.339869281045751,0
0.0,242,187,152,0.0,13,1.2222222222222223,0
0.0,2964,165,647,0.0,20,0.25462962962962965,0
0.0,1975,527,1778,0.0,10,0.2962338392355256,0
0.0,125,296,435,0.0,15,0.6788990825688074,0
0.0,160,165,574,0.0,11,0.28695652173913044,0
0.0,10423,169,313,0.0,12,0.5382165605095541,0
0.0,3517,274,635,0.0,20,0.4308176100628931,0
0.0,1926,341,294,0.0,10,1.1559322033898305,0
0.0,2391,148,258,0.0,8,0.5714285714285714,0
0.0,776,196,134,0.0,8,1.451851851851852,0
0.0,60715,616,604,0.0,3,1.018181818181818,0
